Run: 0
b'840' b'6660497.000000' b'5784.877962' b'59.160955' b'5844.039336'
b'850' b'6660497.000000' b'5851.365828' b'59.688597' b'5911.054847'
b'860' b'6660497.000000' b'5917.815350' b'60.170986' b'5977.986762'
b'870' b'6660497.000000' b'5984.263578' b'60.635185' b'6044.899191'
b'880' b'6660497.000000' b'6050.839784' b'61.081463' b'6111.921677'
b'890' b'6660497.000000' b'6117.479862' b'61.542311' b'6179.022605'
b'900' b'6660497.000000' b'6183.720818' b'62.036581' b'6245.757836'
b'910' b'6660497.000000' b'6250.020192' b'62.847379' b'6312.868012'
b'920' b'6660497.000000' b'6316.368361' b'63.487792' b'6379.856596'
b'930' b'6660497.000000' b'6382.759447' b'64.149047' b'6446.908943'
b'940' b'6660497.000000' b'6448.962223' b'64.753925' b'6513.716601'
b'950' b'6660497.000000' b'6515.668668' b'65.431781' b'6581.100905'
b'960' b'6660497.000000' b'6581.861259' b'66.061739' b'6647.923461'
b'970' b'6660497.000000' b'6648.035429' b'66.736726' b'6714.772636'
b'980' b'6660497.000000' b'6714.299576' b'67.527924' b'6781.827983'
b'990' b'6660497.000000' b'6780.502437' b'68.249966' b'6848.752895'
b'shortest' b'tour:' b'6660497.000000' b'time' b'6909.301319'
Run: 3
b'0' b'6704272.000000' b'9.531749' b'0.065196' b'9.596945'
b'10' b'6699522.000000' b'103.571699' b'0.880110' b'104.451812'
b'20' b'6697276.000000' b'194.246187' b'1.593608' b'195.839800'
b'30' b'6695375.000000' b'281.633244' b'2.438779' b'284.072038'
b'40' b'6691635.000000' b'366.416716' b'3.139353' b'369.556090'
b'50' b'6689123.000000' b'449.020935' b'3.837253' b'452.858216'
b'60' b'6685553.000000' b'529.398922' b'4.688856' b'534.087811'
b'70' b'6683454.000000' b'607.735504' b'5.403344' b'613.138885'
b'80' b'6682423.000000' b'684.465263' b'6.119620' b'690.584927'
b'90' b'6679746.000000' b'759.789733' b'6.974077' b'766.763861'
b'100' b'6677875.000000' b'833.570617' b'7.681217' b'841.251890'
b'110' b'6675716.000000' b'906.772836' b'8.409627' b'915.182525'
b'120' b'6674219.000000' b'978.645925' b'9.105946' b'987.751938'
b'130' b'6673417.000000' b'1050.005346' b'9.747364' b'1059.752781'
b'140' b'6672540.000000' b'1120.759378' b'10.397958' b'1131.157430'
b'150' b'6669858.000000' b'1190.761689' b'11.187998' b'1201.949784'
b'160' b'6669858.000000' b'1260.324503' b'11.959049' b'1272.283656'
b'170' b'6669491.000000' b'1329.218609' b'12.735200' b'1341.953917'
b'180' b'6669417.000000' b'1397.745642' b'13.507895' b'1411.253650'
b'190' b'6665731.000000' b'1466.092483' b'14.269698' b'1480.362299'
b'200' b'6665731.000000' b'1534.334638' b'14.920788' b'1549.255560'
b'210' b'6664923.000000' b'1602.264908' b'15.606675' b'1617.871720'
b'220' b'6664923.000000' b'1669.889769' b'16.321365' b'1686.211277'
b'230' b'6664923.000000' b'1737.471532' b'17.063682' b'1754.535364'
b'240' b'6664490.000000' b'1804.979510' b'17.719525' b'1822.699192'
b'250' b'6664490.000000' b'1872.473327' b'18.503343' b'1890.976836'
b'260' b'6664490.000000' b'1939.610202' b'19.257327' b'1958.867718'
b'270' b'6664490.000000' b'2006.921043' b'19.992475' b'2026.913714'
b'280' b'6664490.000000' b'2074.122104' b'20.644477' b'2094.766783'
b'290' b'6662956.000000' b'2141.039056' b'21.388772' b'2162.428050'
b'300' b'6662956.000000' b'2207.783675' b'22.147929' b'2229.931829'
b'310' b'6662944.000000' b'2274.564586' b'22.934913' b'2297.499729'
b'320' b'6662944.000000' b'2341.275903' b'23.691676' b'2364.967816'
b'330' b'6661091.000000' b'2408.130427' b'24.345712' b'2432.476385'
b'340' b'6661091.000000' b'2475.179971' b'25.012058' b'2500.192280'
b'350' b'6660972.000000' b'2542.232660' b'25.758150' b'2567.991071'
b'360' b'6660972.000000' b'2608.781339' b'26.421171' b'2635.202778'
b'370' b'6660220.000000' b'2675.563574' b'27.167404' b'2702.731249'
b'380' b'6660220.000000' b'2742.017874' b'27.902606' b'2769.920759'
b'390' b'6660220.000000' b'2808.700573' b'28.601141' b'2837.301998'
b'400' b'6660220.000000' b'2875.451779' b'29.426320' b'2904.878388'
b'410' b'6660220.000000' b'2941.737964' b'30.167260' b'2971.905521'
b'420' b'6660220.000000' b'3008.241357' b'30.913575' b'3039.155235'
b'430' b'6660220.000000' b'3074.531384' b'31.622852' b'3106.154555'
b'440' b'6660220.000000' b'3140.788683' b'32.226871' b'3173.015881'
b'450' b'6660220.000000' b'3207.457748' b'32.881330' b'3240.339410'
b'460' b'6660220.000000' b'3273.796195' b'33.583900' b'3307.380433'
b'470' b'6660220.000000' b'3340.383516' b'34.233843' b'3374.617704'
b'480' b'6660220.000000' b'3406.970973' b'34.889472' b'3441.860836'
b'490' b'6660220.000000' b'3473.315441' b'35.518423' b'3508.834259'
b'500' b'6660220.000000' b'3539.546155' b'36.308049' b'3575.854606'
b'510' b'6660220.000000' b'3606.110640' b'37.056902' b'3643.167951'
b'520' b'6660220.000000' b'3672.266112' b'37.810878' b'3710.077401'
b'530' b'6660220.000000' b'3738.423992' b'38.469770' b'3776.894199'
b'540' b'6660220.000000' b'3804.793324' b'39.240272' b'3844.034037'
b'550' b'6660220.000000' b'3871.152121' b'39.795800' b'3910.948369'
b'560' b'6660220.000000' b'3937.604112' b'40.342940' b'3977.947507'
b'570' b'6660220.000000' b'4004.057467' b'40.877426' b'4044.935354'
b'580' b'6660220.000000' b'4070.530711' b'41.388229' b'4111.919425'
b'590' b'6660220.000000' b'4137.105381' b'41.894415' b'4179.000284'
b'600' b'6660220.000000' b'4203.648137' b'42.421296' b'4246.069927'
b'610' b'6660220.000000' b'4270.172416' b'42.955535' b'4313.128450'
b'620' b'6660220.000000' b'4336.470102' b'43.532238' b'4380.002844'
b'630' b'6660220.000000' b'4402.657208' b'44.369392' b'4447.027112'
b'640' b'6660220.000000' b'4469.549994' b'45.090499' b'4514.641032'
b'650' b'6660220.000000' b'4536.051373' b'45.877003' b'4581.928921'
b'660' b'6660220.000000' b'4602.252624' b'46.612602' b'4648.865773'
b'670' b'6660220.000000' b'4668.653115' b'47.357942' b'4716.011609'
b'680' b'6660220.000000' b'4736.146561' b'48.064939' b'4784.212061'
b'690' b'6660220.000000' b'4802.783900' b'48.761643' b'4851.546108'
b'700' b'6660220.000000' b'4869.158461' b'49.380299' b'4918.539331'
b'710' b'6660220.000000' b'4935.621876' b'50.037929' b'4985.660393'
b'720' b'6660220.000000' b'5002.031274' b'50.628401' b'5052.660269'
b'730' b'6660220.000000' b'5068.642806' b'51.217537' b'5119.860941'
b'740' b'6659129.000000' b'5135.261049' b'51.813017' b'5187.074667'
b'750' b'6659129.000000' b'5201.681956' b'52.410849' b'5254.093410'
